video_id,datetime,title
hokALdIst8k,2017-10-30T16:56:57Z,"Multiple Regression in R, Step-by-Step!!!"
zITIFTsivN8,2017-10-30T16:52:41Z,"Multiple Regression, Clearly Explained!!!"
67zCIqdeXpo,2017-10-23T19:41:10Z,"Sample Size and Effective Sample Size, Clearly Explained!!!"
Exk0OoRG0PQ,2017-10-09T15:20:45Z,The Difference Between Technical and Biological Replicates
rzFX5NWojp0,2017-10-09T15:12:09Z,"The Normal Distribution, Clearly Explained!!!"
Odt_r4cAD8A,2017-10-01T15:25:44Z,Employee Of The Week
qBigTkBLU6g,2017-09-25T13:38:28Z,"StatQuest: Histograms, Clearly Explained"
NEaUSP4YerM,2017-09-18T14:55:30Z,"StatQuest: t-SNE, Clearly Explained"
arSkMA2uLFU,2017-09-02T20:00:12Z,I&#39;m Alive
tlf6wYJrwKY,2017-08-31T18:28:40Z,StatQuest: A gentle introduction to RNA-seq
01205ys-GtI,2017-08-31T18:07:09Z,StatQuest: How to make a Mean Pizza Crust!!!
NF5_btOaCig,2017-08-07T15:26:19Z,"Using Linear Models for t-tests and ANOVA, Clearly Explained!!!"
UY8iYbxuzjc,2017-07-31T21:28:31Z,Brothers
XepXtl9YKwc,2017-07-31T17:26:45Z,"Maximum Likelihood, clearly explained!!!"
nk2CQITm_eo,2017-07-24T19:06:27Z,"Linear Regression, Clearly Explained!!!"
yQhTtdq_y9M,2017-07-17T15:31:28Z,What is a (mathematical) model?
fHLhBnmwUM0,2017-07-11T00:25:59Z,Boxplots are Awesome!!!
FKM7hZKYEqw,2017-07-01T14:39:57Z,Your Dark Side
HVXime0nQeI,2017-06-26T18:54:55Z,"StatQuest: K-nearest neighbors, Clearly Explained"
7xHsRkOdVwo,2017-06-20T12:33:24Z,StatQuest: Hierarchical Clustering
Vf7oJ6z2LCc,2017-06-05T17:17:53Z,"Lowess and Loess, Clearly Explained!!!"
BXeZgqXAKAU,2017-05-31T22:10:10Z,The Sum of Regrets
PaFPbb66DxQ,2017-05-22T20:37:28Z,The Main Ideas of Fitting a Line to Data (The Main Ideas of Least Squares and Linear Regression.)
Gi0JdrxRq5s,2017-05-16T13:15:19Z,"StatQuest: edgeR and DESeq2, part 2 - Independent Filtering"
XLCWeSVzHUU,2017-05-08T13:47:35Z,"Sampling from a Distribution, Clearly Explained!!!"
TGvLteZCdAc,2017-04-30T20:34:01Z,Evil Genius
bsZGt-caXO4,2017-04-24T21:17:32Z,StatQuest:  One or Two Tailed P-Values
Wdt6jdi-NQo,2017-04-03T16:19:36Z,"StatQuest: edgeR, part 1, Library Normalization"
Mgm-T-dILAQ,2017-03-31T20:28:37Z,The Rainbow
UFB993xufUU,2017-03-27T16:06:30Z,"StatQuest: DESeq2, part 1, Library Normalization"
A82brFpdr9g,2017-03-20T15:03:59Z,"Standard Deviation vs Standard Error, Clearly Explained!!!"
nnBJeb_I-q8,2017-03-06T19:51:38Z,StatQuickie: Which t test to use
aVvTVYi5vBk,2017-02-27T23:19:48Z,Mr  Hattie
KEofcJ1tfkI,2017-02-22T16:20:16Z,StatQuickie: Thresholds for Significance
K8LQSvtjcEo,2017-01-10T13:40:32Z,"False Discovery Rates, FDR, clearly explained"
MIgCbrNJyGo,2017-01-02T16:28:35Z,Psycho Killer
68e5i5D8qYU,2016-11-29T03:05:36Z,The Coldest Day of the Year
DyaQp6Cz8RA,2016-10-31T14:15:17Z,I Love You
